roll_no,full_name,department_code,course_codes,needs_accessible_seat,email,date_of_birth
ACF24024,Farah Nair,ACF,ACF-201;ACF-202;ACF-203,no,farah.nair24@example.com,2005-06-22
ACF24025,Elif Wagner,ACF,ACF-201;ACF-202;ACF-203,no,elif.wagner25@example.com,2004-12-08
ACF24026,Kavya Rossi,ACF,ACF-201;ACF-202;ACF-203,no,kavya.rossi26@example.com,2004-11-09
ACF24027,Farah Hansen,ACF,ACF-201;ACF-202;ACF-203,no,farah.hansen27@example.com,2005-05-03
ACF24028,Leila Mwangi,ACF,ACF-201;ACF-202;ACF-204,no,leila.mwangi28@example.com,2005-01-25
ACF24029,Dara Walsh,ACF,ACF-201;ACF-202;ACF-203,no,dara.walsh29@example.com,2005-09-11
ACF24030,Nia Chowdhury,ACF,ACF-201;ACF-202;ACF-203,no,nia.chowdhury30@example.com,2003-05-16
ACF24031,Yara Patel,ACF,ACF-201;ACF-202;ACF-203,no,yara.patel31@example.com,2004-10-05
ACF24032,Elena Andersen,ACF,ACF-201;ACF-202;ACF-203,no,elena.andersen32@example.com,2004-09-03
ACF24033,Naveen Haddad,ACF,ACF-201;ACF-202;ACF-203,no,naveen.haddad33@example.com,2004-08-31
ACF24034,Rahul Dimitrov,ACF,ACF-201;ACF-202;ACF-204,no,rahul.dimitrov34@example.com,2003-04-05
ACF24035,Hana Novak,ACF,ACF-201;ACF-202;ACF-203,no,hana.novak35@example.com,2003-09-10
ACF24036,Jasmine Lopez,ACF,ACF-201;ACF-202;ACF-204,no,jasmine.lopez36@example.com,2004-01-12
ACF24037,Victor Hansen,ACF,ACF-201;ACF-202;ACF-204,no,victor.hansen37@example.com,2003-12-02
ACF24038,Emeka Fonseca,ACF,ACF-201;ACF-202;ACF-204,no,emeka.fonseca38@example.com,2005-09-21
ACF24039,Elif Petrov,ACF,ACF-201;ACF-202;ACF-204,no,elif.petrov39@example.com,2003-05-29
ACF24040,Felix Abara,ACF,ACF-201;ACF-202;ACF-204,no,felix.abara40@example.com,2004-07-04
ACF24041,Mira Nwosu,ACF,ACF-201;ACF-202;ACF-203,no,mira.nwosu41@example.com,2003-12-30
ACF24042,Gabriel Adeyemi,ACF,ACF-201;ACF-202;ACF-204,no,gabriel.adeyemi42@example.com,2003-06-18
ACF24043,Rania Kumar,ACF,ACF-201;ACF-202;ACF-204,no,rania.kumar43@example.com,2003-03-16
ACF24044,Sofia Gallagher,ACF,ACF-201;ACF-202;ACF-203,no,sofia.gallagher44@example.com,2003-09-12
ACF24045,Abena Kowalski,ACF,ACF-201;ACF-202;ACF-204,no,abena.kowalski45@example.com,2005-10-16
ACF24046,Caleb Chandra,ACF,ACF-201;ACF-202;ACF-203,no,caleb.chandra46@example.com,2004-11-23
ACF24047,Irene Castillo,ACF,ACF-201;ACF-202;ACF-204,no,irene.castillo47@example.com,2005-04-24
ACF24048,Tariq Sokolov,ACF,ACF-201;ACF-202;ACF-204,no,tariq.sokolov48@example.com,2005-08-25
ACF24049,Javier Rossi,ACF,ACF-201;ACF-202;ACF-203,no,javier.rossi49@example.com,2005-05-25
ACF24050,Isaac Torres,ACF,ACF-201;ACF-202;ACF-203,no,isaac.torres50@example.com,2005-07-19
ACF24051,Astrid Ibrahim,ACF,ACF-201;ACF-202;ACF-203,no,astrid.ibrahim51@example.com,2003-03-26
ACF24052,David Iyer,ACF,ACF-201;ACF-202;ACF-204,no,david.iyer52@example.com,2003-03-23
ACF24053,Mei Andersen,ACF,ACF-201;ACF-202;ACF-204,no,mei.andersen53@example.com,2005-05-27
ACF24054,Leila Fonseca,ACF,ACF-201;ACF-202;ACF-204,no,leila.fonseca54@example.com,2004-04-18
ACF24055,Mohammed Farouk,ACF,ACF-201;ACF-202;ACF-204,no,mohammed.farouk55@example.com,2003-01-24
ACF24056,Lara Mensah,ACF,ACF-201;ACF-202;ACF-204,no,lara.mensah56@example.com,2005-02-08
ACF24058,Isaac Oliveira,ACF,ACF-201;ACF-202;ACF-203,no,isaac.oliveira58@example.com,2003-12-05
ACF24059,Imani Larsen,ACF,ACF-201;ACF-202;ACF-204,no,imani.larsen59@example.com,2003-02-21
ACF24060,Tariq Hansen,ACF,ACF-201;ACF-202;ACF-203,no,tariq.hansen60@example.com,2005-09-14
ACF24061,Rhea Iyer,ACF,ACF-201;ACF-202;ACF-203,no,rhea.iyer61@example.com,2005-02-24
ACF24062,Paulo Garcia,ACF,ACF-201;ACF-202;ACF-203,no,paulo.garcia62@example.com,2003-08-02
ACF24063,Nora Torres,ACF,ACF-201;ACF-202;ACF-203,no,nora.torres63@example.com,2003-06-29
ACF24064,Camila Nair,ACF,ACF-201;ACF-202;ACF-203,no,camila.nair64@example.com,2004-01-27
ACF24065,Aiko Yilmaz,ACF,ACF-201;ACF-202;ACF-204,no,aiko.yilmaz65@example.com,2004-08-20
ACF24066,Sipho Sen,ACF,ACF-201;ACF-202;ACF-203,no,sipho.sen66@example.com,2004-02-16
ACF24067,Ananya Hoang,ACF,ACF-201;ACF-202;ACF-204,no,ananya.hoang67@example.com,2004-09-08
ACF24068,Kavya Reyes,ACF,ACF-201;ACF-202;ACF-204,no,kavya.reyes68@example.com,2004-05-24
ACF24069,Sakura Ibrahim,ACF,ACF-201;ACF-202;ACF-204,no,sakura.ibrahim69@example.com,2004-07-02
ACF24070,Nora Zhang,ACF,ACF-201;ACF-202;ACF-204,no,nora.zhang70@example.com,2004-12-09
ACF24071,Victor Singh,ACF,ACF-201;ACF-202;ACF-204,no,victor.singh71@example.com,2003-03-31
ACF24072,Paulo Novak,ACF,ACF-201;ACF-202;ACF-203,no,paulo.novak72@example.com,2003-08-15
ACF24073,Rhea Costa,ACF,ACF-201;ACF-202;ACF-203,no,rhea.costa73@example.com,2003-07-01
ACF24074,Adele Jansen,ACF,ACF-201;ACF-202;ACF-203,no,adele.jansen74@example.com,2004-04-24
ACF25001,Farah Schmidt,ACF,ACF-101;ACF-102;ACF-103,no,farah.schmidt1@example.com,2006-10-13
ACF25002,Lina Torres,ACF,ACF-101;ACF-102;ACF-103,no,lina.torres2@example.com,2005-02-04
ACF25003,Tariq Kaur,ACF,ACF-101;ACF-102;ACF-103,no,tariq.kaur3@example.com,2004-02-04
ACF25004,Divya Yilmaz,ACF,ACF-101;ACF-102;ACF-103,no,divya.yilmaz4@example.com,2006-02-22
ACF25005,Rohan Gallagher,ACF,ACF-101;ACF-102;ACF-103,no,rohan.gallagher5@example.com,2006-08-28
ACF25006,Yara Marino,ACF,ACF-101;ACF-102;ACF-103,no,yara.marino6@example.com,2004-01-18
ACF25007,Mei Gallagher,ACF,ACF-101;ACF-102;ACF-103,no,mei.gallagher7@example.com,2004-12-05
ACF25008,Liam Sato,ACF,ACF-101;ACF-102;ACF-103,no,liam.sato8@example.com,2004-05-14
ACF25009,Alejandro Osei,ACF,ACF-101;ACF-102;ACF-103,no,alejandro.osei9@example.com,2004-09-05
ACF25010,Leila Oliveira,ACF,ACF-101;ACF-102;ACF-103,no,leila.oliveira10@example.com,2006-08-09
ACF25011,Leila Kowalski,ACF,ACF-101;ACF-102;ACF-103,no,leila.kowalski11@example.com,2006-01-13
ACF25012,Diego Ibrahim,ACF,ACF-101;ACF-102;ACF-103,no,diego.ibrahim12@example.com,2006-09-20
ACF25013,Sipho Fischer,ACF,ACF-101;ACF-102;ACF-103,no,sipho.fischer13@example.com,2005-11-14
ACF25014,Isaac Kowalski,ACF,ACF-101;ACF-102;ACF-103,no,isaac.kowalski14@example.com,2005-01-10
ACF25015,Yara Barros,ACF,ACF-101;ACF-102;ACF-103,yes,yara.barros15@example.com,2005-07-28
ACF25016,Samir Oliveira,ACF,ACF-101;ACF-102;ACF-103,no,samir.oliveira16@example.com,2004-10-19
ACF25017,Liam Iyer,ACF,ACF-101;ACF-102;ACF-103,no,liam.iyer17@example.com,2006-01-22
ACF25018,Naveen Okafor,ACF,ACF-101;ACF-102;ACF-103,no,naveen.okafor18@example.com,2006-01-28
ACF25019,Ishaan Chandra,ACF,ACF-101;ACF-102;ACF-103,no,ishaan.chandra19@example.com,2004-02-23
ACF25020,Nadia Kumar,ACF,ACF-101;ACF-102;ACF-103,no,nadia.kumar20@example.com,2004-05-29
ACF25021,Mateo Singh,ACF,ACF-101;ACF-102;ACF-103,no,mateo.singh21@example.com,2004-06-30
ACF25022,Adele Sato,ACF,ACF-101;ACF-102;ACF-103,no,adele.sato22@example.com,2006-03-22
ACF25023,Gabriel Yilmaz,ACF,ACF-101;ACF-102;ACF-103,no,gabriel.yilmaz23@example.com,2004-02-02
ACF25024,Felix Iyer,ACF,ACF-101;ACF-102;ACF-103,no,felix.iyer24@example.com,2005-02-16
ACF25025,Lina Fonseca,ACF,ACF-101;ACF-102;ACF-103,no,lina.fonseca25@example.com,2006-02-04
ACF25026,Sakura Wagner,ACF,ACF-101;ACF-102;ACF-103,no,sakura.wagner26@example.com,2004-07-07
ACF25027,Fatima Lambert,ACF,ACF-101;ACF-102;ACF-103,yes,fatima.lambert27@example.com,2004-09-06
ACF25028,Sofia Kumar,ACF,ACF-101;ACF-102;ACF-103,no,sofia.kumar28@example.com,2005-09-02
ACF25029,Tariq Iyer,ACF,ACF-101;ACF-102;ACF-103,no,tariq.iyer29@example.com,2006-10-29
ACF25030,Sofia Garcia,ACF,ACF-101;ACF-102;ACF-103,no,sofia.garcia30@example.com,2005-11-03
ACF25031,Anika Dubois,ACF,ACF-101;ACF-102;ACF-103,no,anika.dubois31@example.com,2006-06-26
ACF25032,Yara Abara,ACF,ACF-101;ACF-102;ACF-103,no,yara.abara32@example.com,2004-06-30
ACF25033,Abena Nwosu,ACF,ACF-101;ACF-102;ACF-103,no,abena.nwosu33@example.com,2005-07-13
ACF25034,Zara Sokolov,ACF,ACF-101;ACF-102;ACF-103,no,zara.sokolov34@example.com,2004-10-16
ACF25035,Gabriel Castillo,ACF,ACF-101;ACF-102;ACF-103,no,gabriel.castillo35@example.com,2005-03-01
ACF25036,Liam Varga,ACF,ACF-101;ACF-102;ACF-103,no,liam.varga36@example.com,2006-04-22
ACF25037,Gabriel Kim,ACF,ACF-101;ACF-102;ACF-103,no,gabriel.kim37@example.com,2004-02-07
ACF25038,Dara Kumar,ACF,ACF-101;ACF-102;ACF-103,no,dara.kumar38@example.com,2004-06-29
ACF25039,Noah Nakamura,ACF,ACF-101;ACF-102;ACF-103,no,noah.nakamura39@example.com,2006-12-27
ACF25040,Theo Nakamura,ACF,ACF-101;ACF-102;ACF-103,no,theo.nakamura40@example.com,2005-02-12
ACF25041,Mohammed Wagner,ACF,ACF-101;ACF-102;ACF-103,no,mohammed.wagner41@example.com,2004-08-02
ACF25042,Ishaan Wang,ACF,ACF-101;ACF-102;ACF-103,no,ishaan.wang42@example.com,2005-12-24
ACF25043,Amara Reyes,ACF,ACF-101;ACF-102;ACF-103,no,amara.reyes43@example.com,2005-11-15
ACF25044,Ayesha Sato,ACF,ACF-101;ACF-102;ACF-103,no,ayesha.sato44@example.com,2004-03-01
ACF25045,Ahmed Reyes,ACF,ACF-101;ACF-102;ACF-103,no,ahmed.reyes45@example.com,2004-08-05
ACF25046,Anika Schmidt,ACF,ACF-101;ACF-102;ACF-103,no,anika.schmidt46@example.com,2005-02-03
ACF25047,Bianca Eriksen,ACF,ACF-101;ACF-102;ACF-103,no,bianca.eriksen47@example.com,2004-05-06
ACF25048,Ahmed Tran,ACF,ACF-101;ACF-102;ACF-103,no,ahmed.tran48@example.com,2004-02-07
ACF25049,Alejandro Okafor,ACF,ACF-101;ACF-102;ACF-103,no,alejandro.okafor49@example.com,2006-11-09
ACF25050,Tariq Mensah,ACF,ACF-101;ACF-102;ACF-103,no,tariq.mensah50@example.com,2005-07-08
ACF25051,Lucia Fonseca,ACF,ACF-101;ACF-102;ACF-103,no,lucia.fonseca51@example.com,2005-10-01
ACF25052,Amara Zhang,ACF,ACF-101;ACF-102;ACF-103,no,amara.zhang52@example.com,2006-09-04
ACF25053,Ananya Rao,ACF,ACF-101;ACF-102;ACF-103,no,ananya.rao53@example.com,2005-12-15
ACF25054,Mateo Hansen,ACF,ACF-101;ACF-102;ACF-103,no,mateo.hansen54@example.com,2005-03-26
ACF25056,Zara Dubois,ACF,ACF-101;ACF-102;ACF-103,no,zara.dubois56@example.com,2005-09-16
ACF25058,Sofia Dimitrov,ACF,ACF-101;ACF-102;ACF-103,no,sofia.dimitrov58@example.com,2004-08-13
ACF25059,Sofia Chowdhury,ACF,ACF-101;ACF-102;ACF-103,no,sofia.chowdhury59@example.com,2005-11-11
ACF25060,Ananya Lopez,ACF,ACF-101;ACF-102;ACF-103,no,ananya.lopez60@example.com,2006-08-05
ACF25061,Zara Dimitrov,ACF,ACF-101;ACF-102;ACF-103,no,zara.dimitrov61@example.com,2006-02-23
ACF25062,Elena Wagner,ACF,ACF-101;ACF-102;ACF-103,no,elena.wagner62@example.com,2005-01-25
ACF25063,Kavya Mensah,ACF,ACF-101;ACF-102;ACF-103,no,kavya.mensah63@example.com,2006-05-29
ACF25064,Isaac Verma,ACF,ACF-101;ACF-102;ACF-103,no,isaac.verma64@example.com,2004-03-28
ACF25065,Caleb Verma,ACF,ACF-101;ACF-102;ACF-103,no,caleb.verma65@example.com,2006-02-04
ACF25066,Rohan Tanaka,ACF,ACF-101;ACF-102;ACF-103,no,rohan.tanaka66@example.com,2005-08-11
ACF25067,Gabriel Hansen,ACF,ACF-101;ACF-102;ACF-103,no,gabriel.hansen67@example.com,2006-01-21
SWE24001,Sakura Iyer,SWE,SWE-201;SWE-202;SWE-204,no,sakura.iyer1@example.com,2004-05-17
SWE24002,Nora Barros,SWE,SWE-201;SWE-202;SWE-203,no,nora.barros2@example.com,2005-08-27
SWE24003,Elena Barros,SWE,SWE-201;SWE-202;SWE-204,no,elena.barros3@example.com,2004-05-30
SWE24004,Uma Okafor,SWE,SWE-201;SWE-202;SWE-203,no,uma.okafor4@example.com,2003-01-12
SWE24005,Sakura Sato,SWE,SWE-201;SWE-202;SWE-203,no,sakura.sato5@example.com,2003-01-29
SWE24006,Liam Zhang,SWE,SWE-201;SWE-202;SWE-203,no,liam.zhang6@example.com,2005-01-29
SWE24007,Samir Sokolov,SWE,SWE-201;SWE-202;SWE-204,no,samir.sokolov7@example.com,2004-03-28
SWE24008,David Adeyemi,SWE,SWE-201;SWE-202;SWE-204,no,david.adeyemi8@example.com,2005-09-09
SWE24009,Kofi Barros,SWE,SWE-201;SWE-202;SWE-204,no,kofi.barros9@example.com,2003-11-04
SWE24010,Adele Nwosu,SWE,SWE-201;SWE-202;SWE-203,no,adele.nwosu10@example.com,2005-11-03
SWE24011,Zoe Dubois,SWE,SWE-201;SWE-202;SWE-203,no,zoe.dubois11@example.com,2004-04-10
SWE24012,Aarav Rao,SWE,SWE-201;SWE-202;SWE-203,no,aarav.rao12@example.com,2003-05-10
SWE24013,Elena Park,SWE,SWE-201;SWE-202;SWE-203,no,elena.park13@example.com,2004-10-10
SWE24014,Rosa Petrov,SWE,SWE-201;SWE-202;SWE-204,no,rosa.petrov14@example.com,2004-01-25
SWE24015,Amara Park,SWE,SWE-201;SWE-202;SWE-204,no,amara.park15@example.com,2004-06-28
SWE24016,Sara Wang,SWE,SWE-201;SWE-202;SWE-204,no,sara.wang16@example.com,2005-04-17
SWE24017,Hiro Suzuki,SWE,SWE-201;SWE-202;SWE-203,no,hiro.suzuki17@example.com,2004-03-06
SWE24018,Divya Zhou,SWE,SWE-201;SWE-202;SWE-203,no,divya.zhou18@example.com,2004-09-02
SWE24020,Amara Tran,SWE,SWE-201;SWE-202;SWE-203,no,amara.tran20@example.com,2005-02-07
SWE24021,Julia Singh,SWE,SWE-201;SWE-202;SWE-203,no,julia.singh21@example.com,2005-09-25
SWE24022,Sipho Kamau,SWE,SWE-201;SWE-202;SWE-204,no,sipho.kamau22@example.com,2005-10-02
SWE24023,Rohan Barros,SWE,SWE-201;SWE-202;SWE-203,no,rohan.barros23@example.com,2004-09-26
SWE24024,Kavya Petrov,SWE,SWE-201;SWE-202;SWE-203,no,kavya.petrov24@example.com,2003-09-10
SWE24025,Irene Kowalski,SWE,SWE-201;SWE-202;SWE-203,no,irene.kowalski25@example.com,2005-02-28
SWE24026,Sakura Costa,SWE,SWE-201;SWE-202;SWE-204,no,sakura.costa26@example.com,2003-08-21
SWE24027,Kavya Ibrahim,SWE,SWE-201;SWE-202;SWE-204,no,kavya.ibrahim27@example.com,2004-12-18
SWE24028,Noah Yilmaz,SWE,SWE-201;SWE-202;SWE-203,no,noah.yilmaz28@example.com,2003-12-14
SWE24029,Ananya Banerjee,SWE,SWE-201;SWE-202;SWE-204,no,ananya.banerjee29@example.com,2005-02-15
SWE24030,Tessa Petrov,SWE,SWE-201;SWE-202;SWE-204,no,tessa.petrov30@example.com,2004-08-07
SWE24031,Kavya Moreau,SWE,SWE-201;SWE-202;SWE-204,no,kavya.moreau31@example.com,2003-02-21
SWE24032,Victor Novak,SWE,SWE-201;SWE-202;SWE-203,no,victor.novak32@example.com,2004-06-13
SWE24033,Leon Lopez,SWE,SWE-201;SWE-202;SWE-204,no,leon.lopez33@example.com,2005-07-18
SWE24034,Mira Wagner,SWE,SWE-201;SWE-202;SWE-203,no,mira.wagner34@example.com,2004-06-26
SWE24035,Rosa Costa,SWE,SWE-201;SWE-202;SWE-203,no,rosa.costa35@example.com,2003-07-09
SWE24036,Alejandro Nair,SWE,SWE-201;SWE-202;SWE-204,no,alejandro.nair36@example.com,2003-05-11
SWE24037,Paulo Ibrahim,SWE,SWE-201;SWE-202;SWE-203,no,paulo.ibrahim37@example.com,2003-03-18
SWE24038,Rhea Tanaka,SWE,SWE-201;SWE-202;SWE-203,no,rhea.tanaka38@example.com,2004-09-20
SWE24039,Tessa Verma,SWE,SWE-201;SWE-202;SWE-203,no,tessa.verma39@example.com,2005-08-06
SWE24040,Sara Kowalski,SWE,SWE-201;SWE-202;SWE-203,no,sara.kowalski40@example.com,2003-10-20
SWE24041,Rhea Tran,SWE,SWE-201;SWE-202;SWE-203,no,rhea.tran41@example.com,2005-02-12
SWE24042,Oscar Hoang,SWE,SWE-201;SWE-202;SWE-204,no,oscar.hoang42@example.com,2003-07-08
SWE24043,Gabriel Petrov,SWE,SWE-201;SWE-202;SWE-204,no,gabriel.petrov43@example.com,2003-05-01
SWE24044,Ishaan Kowalski,SWE,SWE-201;SWE-202;SWE-203,yes,ishaan.kowalski44@example.com,2003-10-28
SWE24045,Sebastian Novak,SWE,SWE-201;SWE-202;SWE-204,no,sebastian.novak45@example.com,2004-10-04
SWE24046,Jae Castillo,SWE,SWE-201;SWE-202;SWE-204,no,jae.castillo46@example.com,2005-04-24
SWE24047,Javier Gallagher,SWE,SWE-201;SWE-202;SWE-204,no,javier.gallagher47@example.com,2003-06-13
SWE24048,Yusuf Zhou,SWE,SWE-201;SWE-202;SWE-204,no,yusuf.zhou48@example.com,2004-10-10
SWE24049,Tariq Schmidt,SWE,SWE-201;SWE-202;SWE-204,no,tariq.schmidt49@example.com,2004-12-11
SWE24050,Mei Haddad,SWE,SWE-201;SWE-202;SWE-203,no,mei.haddad50@example.com,2005-08-25
SWE24051,Rhea Walsh,SWE,SWE-201;SWE-202;SWE-204,no,rhea.walsh51@example.com,2004-10-22
SWE24052,Mateo Abara,SWE,SWE-201;SWE-202;SWE-203,no,mateo.abara52@example.com,2004-01-08
SWE24053,Abena Garcia,SWE,SWE-201;SWE-202;SWE-203,no,abena.garcia53@example.com,2004-02-27
SWE24054,Nia Sokolov,SWE,SWE-201;SWE-202;SWE-203,no,nia.sokolov54@example.com,2003-04-15
SWE24055,Irene Novak,SWE,SWE-201;SWE-202;SWE-203,no,irene.novak55@example.com,2004-04-21
SWE24056,Lucia Varga,SWE,SWE-201;SWE-202;SWE-204,no,lucia.varga56@example.com,2005-10-15
SWE24057,Zoe Mensah,SWE,SWE-201;SWE-202;SWE-204,no,zoe.mensah57@example.com,2005-08-04
SWE24058,Yara Andersen,SWE,SWE-201;SWE-202;SWE-204,no,yara.andersen58@example.com,2003-05-31
SWE24059,Amara Kamau,SWE,SWE-201;SWE-202;SWE-203,no,amara.kamau59@example.com,2005-09-03
SWE24060,Diego Okafor,SWE,SWE-201;SWE-202;SWE-203,no,diego.okafor60@example.com,2004-10-04
SWE24061,Bianca Petrov,SWE,SWE-201;SWE-202;SWE-203,no,bianca.petrov61@example.com,2005-09-26
SWE24062,Javier Andersen,SWE,SWE-201;SWE-202;SWE-204,no,javier.andersen62@example.com,2004-03-31
SWE24063,Amara Castillo,SWE,SWE-201;SWE-202;SWE-203,no,amara.castillo63@example.com,2004-09-01
SWE24064,Nora Kowalski,SWE,SWE-201;SWE-202;SWE-204,no,nora.kowalski64@example.com,2003-08-06
SWE24065,Joao Patel,SWE,SWE-201;SWE-202;SWE-204,no,joao.patel65@example.com,2004-04-08
SWE24067,Yara Zhang,SWE,SWE-201;SWE-202;SWE-203,no,yara.zhang67@example.com,2003-01-29
SWE24068,Gabriel Kowalski,SWE,SWE-201;SWE-202;SWE-203,no,gabriel.kowalski68@example.com,2003-07-25
SWE24069,Astrid Petrov,SWE,SWE-201;SWE-202;SWE-203,no,astrid.petrov69@example.com,2004-08-24
SWE24070,Paulo Kaur,SWE,SWE-201;SWE-202;SWE-204,no,paulo.kaur70@example.com,2003-12-03
SWE24072,Jae Osei,SWE,SWE-201;SWE-202;SWE-204,no,jae.osei72@example.com,2005-10-12
SWE25001,Hannah Kim,SWE,SWE-101;SWE-102;SWE-103,no,hannah.kim1@example.com,2004-04-29
SWE25002,Julia Adeyemi,SWE,SWE-101;SWE-102;SWE-103,no,julia.adeyemi2@example.com,2004-07-19
SWE25003,Zara Hoang,SWE,SWE-101;SWE-102;SWE-103,no,zara.hoang3@example.com,2004-08-28
SWE25004,Yara Nair,SWE,SWE-101;SWE-102;SWE-103,no,yara.nair4@example.com,2006-02-14
SWE25005,Oscar Chowdhury,SWE,SWE-101;SWE-102;SWE-103,no,oscar.chowdhury5@example.com,2006-12-10
SWE25006,Julia Hoang,SWE,SWE-101;SWE-102;SWE-103,no,julia.hoang6@example.com,2004-12-03
SWE25007,Yara Costa,SWE,SWE-101;SWE-102;SWE-103,no,yara.costa7@example.com,2006-08-11
SWE25008,Naveen Garcia,SWE,SWE-101;SWE-102;SWE-103,no,naveen.garcia8@example.com,2005-06-13
SWE25009,Nia Quinn,SWE,SWE-101;SWE-102;SWE-103,no,nia.quinn9@example.com,2004-07-29
SWE25010,Andrei Yilmaz,SWE,SWE-101;SWE-102;SWE-103,no,andrei.yilmaz10@example.com,2006-02-26
SWE25012,Nadia Rao,SWE,SWE-101;SWE-102;SWE-103,no,nadia.rao12@example.com,2005-04-22
SWE25013,Chloe Kowalski,SWE,SWE-101;SWE-102;SWE-103,no,chloe.kowalski13@example.com,2005-07-14
SWE25015,Abena Petrov,SWE,SWE-101;SWE-102;SWE-103,no,abena.petrov15@example.com,2006-12-13
SWE25016,Anika Fonseca,SWE,SWE-101;SWE-102;SWE-103,no,anika.fonseca16@example.com,2005-07-19
SWE25017,Emma Osei,SWE,SWE-101;SWE-102;SWE-103,no,emma.osei17@example.com,2004-01-11
SWE25018,Ibrahim Haddad,SWE,SWE-101;SWE-102;SWE-103,no,ibrahim.haddad18@example.com,2005-08-09
SWE25019,Theo Suzuki,SWE,SWE-101;SWE-102;SWE-103,no,theo.suzuki19@example.com,2006-10-22
SWE25020,Ishaan Patel,SWE,SWE-101;SWE-102;SWE-103,no,ishaan.patel20@example.com,2005-04-15
SWE25021,Anika Nair,SWE,SWE-101;SWE-102;SWE-103,no,anika.nair21@example.com,2006-10-05
SWE25022,Theo Nair,SWE,SWE-101;SWE-102;SWE-103,no,theo.nair22@example.com,2006-01-29
SWE25023,Leila Andersen,SWE,SWE-101;SWE-102;SWE-103,no,leila.andersen23@example.com,2006-05-09
SWE25024,Emma Iyer,SWE,SWE-101;SWE-102;SWE-103,no,emma.iyer24@example.com,2005-05-09
SWE25025,Anika Lopez,SWE,SWE-101;SWE-102;SWE-103,no,anika.lopez25@example.com,2006-11-01
SWE25026,Nia Singh,SWE,SWE-101;SWE-102;SWE-103,no,nia.singh26@example.com,2004-09-07
SWE25027,Leon Barros,SWE,SWE-101;SWE-102;SWE-103,no,leon.barros27@example.com,2004-02-04
SWE25029,Sara Suzuki,SWE,SWE-101;SWE-102;SWE-103,no,sara.suzuki29@example.com,2004-03-10
SWE25030,Rohan Castillo,SWE,SWE-101;SWE-102;SWE-103,yes,rohan.castillo30@example.com,2006-05-15
SWE25031,Aarav Costa,SWE,SWE-101;SWE-102;SWE-103,no,aarav.costa31@example.com,2005-12-23
SWE25032,Bianca Banerjee,SWE,SWE-101;SWE-102;SWE-103,no,bianca.banerjee32@example.com,2004-01-22
SWE25033,Mei Dimitrov,SWE,SWE-101;SWE-102;SWE-103,no,mei.dimitrov33@example.com,2004-10-03
SWE25034,Rania Kim,SWE,SWE-101;SWE-102;SWE-103,no,rania.kim34@example.com,2004-04-16
SWE25035,Ibrahim Sokolov,SWE,SWE-101;SWE-102;SWE-103,no,ibrahim.sokolov35@example.com,2005-01-31
